valor_curso;valor_area_materia;valor_criterio_evaluacion;descripcion_criterio_evaluacion
"4º ESO";"Ámbito científico- experimental";"Reconocer que los seres vivos están constituidos por células y que llevan a cabo funciones vitales que les diferencian de la materia inerte. Identificar y reconocer las peculiaridades de los grupos más importantes, utilizando claves dicotómicas para su identificación.";
"4º ESO";"Ámbito científico- experimental";"Interpretar los aspectos relacionados con las funciones vitales de los seres vivos a partir de distintas observaciones y experiencias realizadas con organismos sencillos, comprobando el efecto que tienen determinadas variables en los procesos de nutrición, relación y reproducción.";
"4º ESO";"Ámbito científico- experimental";"Organizar e interpretar informaciones diversas mediante tablas y gráficas, e identificar relaciones de dependencia en situaciones cotidianas.";
"4º ESO";"Ámbito científico- experimental";"Identificar relaciones de proporcionalidad numérica y geométrica y utilizarlas para resolver problemas en situaciones de la vida cotidiana.";
"4º ESO";"Ámbito científico- experimental";"Identificar los comportamientos favorables y desfavorables para la salud y el medio ambiente";
"4º ESO";"Ámbito científico- experimental";"Utilizar el concepto cualitativo de energía para explicar su papel en las transformaciones que tienen lugar en nuestro entorno y reconocer la importancia y repercusiones para la sociedad y el medio ambiente de las diferentes fuentes de energía renovables y no renovables.";
"4º ESO";"Ámbito científico- experimental";"Explicar, a partir del conocimiento de las propiedades del agua, el ciclo del agua en la naturaleza y su importancia para los seres vivos, considerando las repercusiones de las actividades humanas en relación con su utilización.";
"4º ESO";"Ámbito científico- experimental";"Hacer predicciones a partir del análisis de las relaciones que se establecen entre el comportamiento humano y fenómenos de la naturaleza para conocer la posibilidad de que un suceso ocurra a partir de información previamente obtenida de forma empírica.";
"4º ESO";"Ámbito científico- experimental";"Emplear de manera autónoma y con sentido crítico los recursos tecnológicos en el trabajo habitual para realizar investigaciones y resolver problemas.";
"4º ESO";"Ámbito científico- experimental";"Demostrar actitudes propias de la actividad matemática y valorar la contribución de esta materia en el desarrollo científico y cultural de la sociedad.";
"4º ESO";"Ámbito científico- experimental";"Participar de forma activa en proyectos y manifestar actitudes de cooperación, tolerancia y respeto a las opiniones y al trabajo del resto de los componentes.";
"4º ESO";"Ámbito científico- experimental";"Utilizar las destrezas orales y escritas como herramientas al servicio del aprendizaje.";
"4º ESO";"Ámbito científico-social";"Identificar elementos matemáticos presentes en la realidad, y aplicar los conocimientos matemáticos adquiridos en situaciones cotidianas.";
"4º ESO";"Ámbito científico-social";"Utilizar números enteros, fracciones, decimales y porcentajes sencillos, sus operaciones y propiedades, para recoger, transformar e intercambiar información y resolver problemas relacionados con la vida diaria.";
"4º ESO";"Ámbito científico-social";"Localizar, obtener y describir la información de lugares y espacios que configuran el medio físico mundial, de Europa, España y Castilla-La Mancha, en un mapa utilizando las coordenadas geográficas, la leyenda y la simbología.";
"4º ESO";"Ámbito científico-social";"Describir y comparar los rasgos físicos más destacados de los grandes medios naturales del planeta, localizándolos en el espacio representado y relacionándolos con las posibilidades que ofrecen a los grupos humanos";
"4º ESO";"Ámbito científico-social";"Identificar y explicar, algunos ejemplos de los impactos que la acción humana tiene sobre el medio natural, analizando sus causas y efectos, y aportando soluciones para limitarlos.";
"4º ESO";"Ámbito científico-social";"Identificar relaciones de proporcionalidad numérica y geométrica y utilizarlas para resolver problemas en situaciones de la vida cotidiana.";
"4º ESO";"Ámbito científico-social";"Describir los factores que condicionan los comportamientos demográficos conociendo y utilizando los conceptos básicos de la demografía para su análisis, caracterizando las tendencias predominantes y aplicando este conocimiento al análisis del actual régimen demográfico español y sus consecuencias.";
"4º ESO";"Ámbito científico-social";"Analizar el crecimiento de las áreas urbanas, la diferenciación funcional del espacio urbano y alguno de los problemas que se les plantean a sus habitantes, aplicando este conocimiento a ejemplos de ciudades y pueblos castellano-manchegos y españoles.";
"4º ESO";"Ámbito científico-social";"Utilizar las convenciones y unidades cronológicas y las nociones de evolución y cambio aplicándolas a hechos y procesos referidos al periodo de estudio.";
"4º ESO";"Ámbito científico-social";"Identificar y exponer los cambios que supuso la revolución neolítica y las primeras civilizaciones urbanas en la evolución de la humanidad y valorar su importancia y sus consecuencias al compararlos con los elementos que conformaron las sociedades depredadoras.";
"4º ESO";"Ámbito científico-social";"Caracterizar los rasgos de la organización política, económica y social de las civilizaciones griega y romana en su época de expansión valorando la trascendencia de la romanización en Hispania y la pervivencia de su legado en nuestro país";
"4º ESO";"Ámbito científico-social";"Describir los rasgos sociales, económicos, políticos, religiosos, culturales y artísticos que caracterizan la Europa feudal a partir de las funciones desempeñadas por los diferentes estamentos sociales y reconocer su evolución hasta la aparición del Estado moderno.";
"4º ESO";"Ámbito científico-social";"Distinguir los principales momentos en la formación del Estado moderno destacando las características más relevantes de la monarquía hispánica y del imperio colonial español.";
"4º ESO";"Ámbito científico-social";"Organizar e interpretar informaciones diversas mediante tablas y gráficas, e identificar relaciones de dependencia en situaciones cotidianas.";
"4º ESO";"Ámbito científico-social";"Formular las preguntas adecuadas para conocer las características de una población y recoger, organizar y presentar datos relevantes para responderlas, utilizando los métodos estadísticos apropiados y las herramientas informáticas adecuadas.";
"4º ESO";"Ámbito científico-social";"Identificar los rasgos característicos de la sociedad española actual distinguiendo la diversidad de grupos sociales que la configuran, reconociendo su pertenencia al mundo occidental y exponiendo alguna situación que refleje desigualdad social.";
"4º ESO";"Ámbito científico-social";"Reconocer la existencia de conflictos y el papel que desempeñan en los mismos las organizaciones internacionales y las fuerzas de pacificación. Valorar la importancia de las leyes y la participación humanitaria para paliar las consecuencias de los conflictos";
"4º ESO";"Ámbito científico-social";"Conocer y contrastar la situación de los derechos y libertades humanas en las épocas estudiadas y en el momento actual.";
"4º ESO";"Ámbito científico-social";"Identificar los principios básicos de las Declaración Universal de los Derechos Humanos y su evolución, distinguir situaciones de violación de los mismos y reconocer y rechazar las desigualdades de hecho y de derecho, en particular las que afectan a las mujeres.";
"4º ESO";"Ámbito científico-social";"Identificar y rechazar, a partir del análisis de hechos reales o figurados, las situaciones de discriminación hacia personas de diferente origen, género, ideología, religión, orientación afectivo-sexual y otras, respetando las diferencias personales y mostrando autonomía de criterio.";
"4º ESO";"Ámbito científico-social";"Identificar y rechazar, a partir del análisis de hechos reales o figurados, las situaciones de discriminación hacia personas de diferente origen, género, ideología, religión, orientación afectivo-sexual y otras, respetando las diferencias personales y mostrando autonomía de criterio.";
"4º ESO";"Ámbito científico-social";"Identificar algunos de los rasgos de las sociedades actuales (desigualdad, pluralidad cultural, compleja convivencia urbana, etc.) y desarrollar actitudes responsables que contribuyan a su mejora.";
"4º ESO";"Ámbito científico-social";"Emplear de manera autónoma y con sentido crítico los recursos tecnológicos en el trabajo habitual de matemáticas, en particular para realizar investigaciones y resolver problemas.";
"4º ESO";"Ámbito científico-social";"Realizar proyectos de investigación guiada utilizando una lectura comprensiva de fuentes de información escrita de contenido geográfico o histórico y comunicar la información obtenida de forma correcta por escrito.";
"4º ESO";"Ámbito científico-social";"Utilizar las destrezas orales y escritas como herramientas al servicio del aprendizaje.";
"4º ESO";"Ámbito cultural y artístico";"Identificar los elementos constitutivos esenciales de los diferentes lenguajes artísticos y reconocerlos en la interpretación de la realidad.";
"4º ESO";"Ámbito cultural y artístico";"Respetar los hábitos higiénicos y posturales saludables relacionados con la actividad artística.";
"4º ESO";"Ámbito cultural y artístico";"Practicar técnicas de relajación, respiración, articulación correcta, de escucha y expresión.";
"4º ESO";"Ámbito cultural y artístico";"Representar mediante técnicas como el mimo, el gesto, la dramatización o la danza y comunicarlo al resto de grupos.";
"4º ESO";"Ámbito cultural y artístico";"Representar objetos y realizar creaciones plásticas demostrando iniciativa, creatividad e imaginación a la hora de elegir las técnicas y disponer de los materiales más adecuados para los objetivos prefijados.";
"4º ESO";"Ámbito cultural y artístico";"Leer distintos tipos de partituras en el contexto de las actividades musicales del aula y elaborar un arreglo para una canción o una pieza instrumental utilizando apropiadamente una serie de elementos dados.";
"4º ESO";"Ámbito cultural y artístico";"Diferenciar los distintos estilos y tendencias artísticas a través del tiempo y atendiendo la diversidad cultural.";
"4º ESO";"Ámbito cultural y artístico";"Elaborar y participar, activamente, en proyectos artísticos cooperativos, como producciones multimedia aplicando las estrategias propias y adecuadas de cada lenguaje visual.";
"4º ESO";"Ámbito cultural y artístico";"Manifestar una actitud crítica ante el consumo, las prácticas y valoraciones que se hacen de las actividades artísticas en los diferentes medios de comunicación y en general en el contexto social.";
"4º ESO";"Ámbito cultural y artístico";"Comunicar a los demás juicios personales acerca de las manifestaciones artísticas e utilizando la terminología adecuada.";
"4º ESO";"Ámbito cultural y artístico";"Utilizar las tecnologías de la información y la comunicación como recurso al servicio del aprendizaje y de la expresión artística.";
"4º ESO";"Ámbito cultural y artístico";"Utilizar las destrezas orales y escritas como herramientas al servicio del aprendizaje.";
"4º ESO";"Ámbito lingüístico";"Reconocer, junto al propósito y la idea general, ideas, hechos o datos relevantes en textos orales de ámbitos sociales próximos a la experiencia del alumnado y en el ámbito académico; captar la idea global y la relevancia de informaciones oídas en radio o en TV y seguir instrucciones para realizar autónomamente tareas de aprendizaje.";
"4º ESO";"Ámbito lingüístico";"Realizar exposiciones orales sencillas sobre temas próximos a su entorno que sean del interés del alumnado, con la ayuda de medios audiovisuales y de las tecnologías de la información y la comunicación.";
"4º ESO";"Ámbito lingüístico";"Extraer informaciones concretas e identificar el propósito en textos escritos de ámbitos sociales próximos a la experiencia del alumnado; seguir instrucciones de cierta extensión en procesos poco complejos; identificar el tema general y temas secundarios y distinguir cómo está organizada la información.";
"4º ESO";"Ámbito lingüístico";"Narrar, exponer, explicar, resumir y comentar, en soporte papel o digital, usando el registro adecuado, organizando las ideas con claridad, enlazando los enunciados en secuencias lineales cohesionadas, respetando las normas gramaticales y ortográficas y valorando la importancia de planificar y revisar el texto.";
"4º ESO";"Ámbito lingüístico";"Aplicar los conocimientos sobre la lengua, las normas y la terminología lingüística para resolver problemas de comprensión de textos orales y escritos y para la composición y revisión progresivamente autónoma de los textos propios de este curso.";
"4º ESO";"Ámbito lingüístico";"Manejar principios fundamentales del funcionamiento de los procesadores de textos y utilizarlos en trabajos sencillos de investigación, utilizando los medios informáticos complementarios (Internet, bases de datos, CD-Roms, procesadores de textos, etc.)";
"4º ESO";"Ámbito lingüístico";"Utilizar los conocimientos literarios en la comprensión y la valoración de textos breves o fragmentos, atendiendo a los temas y motivos de la tradición, a la caracterización de los subgéneros literarios, a la versificación, al uso del lenguaje y a la funcionalidad de los recursos retóricos en el texto.";
"4º ESO";"Ámbito lingüístico";"Componer textos, en soporte papel o digital, tomando como modelo textos literarios leídos y comentados en el aula o realizar algunas transformaciones en esos textos.";
"4º ESO";"Ámbito lingüístico";"Identificar y valorar las distintas lenguas que se hablan en España y en Europa desde el respeto a la diversidad.";
"4º ESO";"Ámbito lingüístico";"Utilizar la lectura y la escritura en su tiempo de ocio";
"4º ESO";"Ámbito lingüístico";"Poner en práctica estrategias de análisis de los textos que eviten su uso como fuente de discriminación";
"4º ESO";"Ámbito tecnológico.";"Identificar elementos matemáticos presentes en la realidad, y aplicar los conocimientos científicos adquiridos en situaciones cotidianas.";
"4º ESO";"Ámbito tecnológico.";"Utilizar números enteros, fracciones, decimales y porcentajes sencillos, sus operaciones y propiedades, para recoger, transformar e intercambiar información y resolver problemas relacionados con la vida diaria.";
"4º ESO";"Ámbito tecnológico.";"Identificar y describir regularidades, pautas y relaciones en conjuntos de números, utilizar letras para simbolizar distintas cantidades y obtener expresiones algebraicas como síntesis en secuencias numéricas, así como el valor numérico de fórmulas sencillas.";
"4º ESO";"Ámbito tecnológico.";"Explicar fenómenos naturales referidos a la transmisión de la luz y del sonido y reproducir algunos de ellos teniendo en cuenta sus propiedades.";
"4º ESO";"Ámbito tecnológico.";"Utilizar el concepto cualitativo de energía para explicar su papel en las transformaciones que tienen lugar en nuestro entorno y reconocer la importancia y repercusiones para la sociedad y el medio ambiente de las diferentes fuentes de energía renovables y no renovables.";
"4º ESO";"Ámbito tecnológico.";"Analizar y describir en las estructuras del entorno los elementos resistentes y los esfuerzos a que están sometidos.";
"4º ESO";"Ámbito tecnológico.";"Identificar y manejar operadores mecánicos encargados de la transformación y transmisión de movimientos en máquinas. Explicar su funcionamiento en el conjunto y, en su caso, calcular la relación de transmisión.";
"4º ESO";"Ámbito tecnológico.";"Describir propiedades básicas de materiales técnicos y sus variedades comerciales: madera, metales, materiales plásticos, cerámicos y pétreos. Identificarlos en aplicaciones comunes y emplear técnicas básicas de conformación, unión y acabado.";
"4º ESO";"Ámbito tecnológico.";"Diseñar y simular circuitos con simbología adecuada y montar circuitos formados por operadores elementales. Utilizar correctamente instrumentos de medida de magnitudes eléctricas básicas. Valorar los efectos de la energía eléctrica y su capacidad de conversión en otras manifestaciones energéticas";
"4º ESO";"Ámbito tecnológico.";"Realizar las operaciones técnicas previstas en un plan de trabajo utilizando los recursos materiales y organizativos con criterios de economía, seguridad y respeto al medio ambiente y valorando las condiciones del entorno de trabajo.";
"4º ESO";"Ámbito tecnológico.";"Organizar e interpretar informaciones diversas mediante tablas y gráficas, e identificar relaciones de dependencia en situaciones cotidianas.";
"4º ESO";"Ámbito tecnológico.";"Representar mediante vistas y perspectivas objetos y sistemas técnicos sencillos, aplicando criterios de normalización.";
"4º ESO";"Ámbito tecnológico.";"Valorar el interés y el esfuerzo realizado y el conocimiento sobre los efectos positivos y negativos que la actividad tecnológica tiene.";
"4º ESO";"Ámbito tecnológico.";"Identificar y conectar componentes físicos de un ordenador y otros dispositivos electrónicos. Manejar el entorno gráfico de los sistemas operativos como interfaz de comunicación con la máquina.";
"4º ESO";"Ámbito tecnológico.";"Elaborar, almacenar y recuperar documentos en soporte electrónico que incorporen información textual y gráfica.";
"4º ESO";"Ámbito tecnológico.";"Acceder a Internet para la utilización de servicios básicos: navegación para la localización de información, correo electrónico, comunicación intergrupal y publicación de información.";
"4º ESO";"Ámbito tecnológico.";"Emplear de manera autónoma y con sentido crítico los recursos tecnológicos en el trabajo habitual para realizar investigaciones y resolver problemas.";
"4º ESO";"Ámbito tecnológico.";"Valorar las necesidades del proceso tecnológico empleando la resolución técnica de problemas analizando su contexto, proponiendo soluciones alternativas y desarrollando la más adecuada.";
"4º ESO";"Ámbito tecnológico.";"Colaborar con el equipo en la planificación, desarrollo y evaluación de los proyectos.";
"4º ESO";"Ámbito tecnológico.";"Utilizar las destrezas orales y escritas como herramientas al servicio del aprendizaje. Elaborar documentos técnicos empleando recursos verbales y gráficos.";
"4º ESO";"Biología y geología";"Identificar y describir hechos que muestren a la Tierra como un planeta cambiante y registrar algunos de los cambios más notables de su larga historia utilizando modelos temporales a escala.";"Este criterio valora la competencia del alumnado para reconocer la magnitud del tiempo geológico mediante la identificación de los acontecimientos fundamentales de la historia de la Tierra en una tabla cronológica y, especialmente a través de la identificación y ubicación de los fósiles más representativos de las principales eras geológicas y de otros registros geológicos tales como la datación estratigráfica, los tipos de rocas, las cordilleras y procesos orogénicos o las transgresiones y regresiones marinas (objetivo 1)."
"4º ESO";"Biología y geología";"Utilizar el modelo dinámico de la estructura interna de la Tierra y la teoría de la tectónica de placas para estudiar los fenómenos geológicos asociados al movimiento de la litosfera y relacionarlos con su ubicación en mapas terrestres.";"Este criterio valora la competencia del alumnado para aplicar el modelo dinámico de la estructura interna de la Tierra y la teoría de la tectónica de placas en la explicación de fenómenos aparentemente no relacionados entre sí, como la formación de cordilleras, la expansión del fondo oceánico, la coincidencia geográfica de terremotos y volcanes en muchos lugares de la Tierra, las coincidencias geológicas y paleontológicas en territorios actualmente separados por grandes océanos, etc. También se debe comprobar si es capaz de asociar la distribución de seísmos y volcanes a los límites de las placas litosféricas en mapas de escala adecuada, y de relacionar todos estos procesos (objetivo 1)."
"4º ESO";"Biología y geología";"Aplicar los postulados de la teoría celular al estudio de distintos tipos de seres vivos e identificar las estructuras características de la célula procariótica, eucariótica vegetal y animal, y relacionar cada uno de los elementos celulares con su función biológica.";"Este criterio valora la competencia del alumnado para reconocer, empleando las técnicas adecuadas, la existencia de células en distintos organismos. Se trata de evaluar si es capaz de identificar las estructuras celulares en dibujos y microfotografías, señalando la función de cada una de ellas. Asimismo, debe entender la necesidad de coordinación de las células que componen los organismos pluricelulares (objetivo 1)."
"4º ESO";"Biología y geología";"Reconocer las características del ciclo celular y describir la reproducción celular, señalando las diferencias principales entre meiosis y mitosis, así como el significado biológico de ambas.";"Este criterio valora la competencia del alumnado en el conocimiento de la mitosis como un tipo de división celular asexual necesaria en la reproducción de los organismos unicelulares y que asegura el crecimiento y reparación del cuerpo en los organismos pluricelulares. También debe explicar el papel de los gametos y de la meiosis en la reproducción sexual. Se trata de comparar ambos tipos de división celular respecto al tipo de células que la sufren, a su mecanismo de acción, a los resultados obtenidos y a la importancia biológica de ambos procesos. Se puede considerar la utilización e interpretación de dibujos esquemáticos, modelos de ciclos celulares o fotografías de cariotipos (objetivo 1)."
"4º ESO";"Biología y geología";"Resolver problemas prácticos de Genética en diversos tipos de cruzamientos utilizando las leyes de Mendel y aplicar los conocimientos adquiridos en investigar la transmisión de determinados caracteres en nuestra especie.";"Este criterio valora la competencia del alumnado para diferenciar los conceptos básicos de genética y resolver problemas sencillos sobre la transmisión de caracteres hereditarios calculando porcentajes genotípicos y fenotípicos de los descendientes, reconociendo en estos resultados su carácter aleatorio. Valorar si aplica estos conocimientos a problemas concretos de la herencia humana, como la hemofilia, el daltonismo, el factor Rh, el color de ojos y pelo, etc. (objetivo 1)."
"4º ESO";"Biología y geología";"Conocer que los genes están constituidos por ADN y ubicados en los cromosomas. Interpretar el papel de la diversidad genética (intraespecífica e interespecífica) y las mutaciones a partir del concepto de gen y valorar críticamente las consecuencias de los avances actuales de la ingeniería genética.";"Este criterio valora la competencia del alumnado para explicar que el almacenamiento de la información genética reside en los cromosomas, interpretar mediante la teoría cromosómica de la herencia las excepciones a las leyes de Mendel y conocer el concepto molecular de gen, así como la existencia de mutaciones y sus implicaciones en la evolución y diversidad de los seres vivos. También, si utiliza sus conocimientos para crearse un criterio propio acerca de las repercusiones sanitarias y sociales de los avances en el conocimiento del genoma y analiza, desde una perspectiva social, científica y ética, las ventajas e inconvenientes de la moderna biotecnología (terapia génica, alimentos transgénicos, etc. (objetivo 1)."
"4º ESO";"Biología y geología";"Exponer razonadamente los problemas que condujeron a enunciar la teoría de la evolución, los principios básicos de esta teoría y las controversias científicas, sociales y religiosas que suscitó.";"Este criterio valora la competencia del alumnado para conocer las controversias entre fijismo y evolucionismo y luego entre distintas teorías evolucionistas como las de Lamarck y Darwin, así como la teoría evolucionistas actuales más aceptadas. Se trata de ver si el alumnado sabe interpretar, a la luz de la teoría de la evolución de los seres vivos, el registro paleontológico, la anatomía comparada, las semejanzas y diferencias genéticas, embriológicas y bioquímicas, la distribución biogeográfica, etc (objetivos 1 y 4)."
"4º ESO";"Biología y geología";"Relacionar la evolución y la distribución de los seres vivos, destacando sus adaptaciones más importantes, con los mecanismos de selección natural que actúan sobre la variabilidad genética de cada especie.";"Este criterio valora la competencia del alumnado para interpretar, a la luz de la teoría de la evolución, los datos más relevantes del registro paleontológico, la anatomía comparada, las semejanzas y diferencias genéticas, embriológicas y bioquímicas, la distribución biogeográfica y otros aspectos relacionados con la evolución de los seres vivos (objetivos 1 y 4)."
"4º ESO";"Biología y geología";"Explicar cómo se produce la transferencia de materia y energía a largo de una cadena o red trófica concreta y deducir las consecuencias prácticas en la gestión sostenible de algunos recursos por parte del ser humano.";"Este criterio valora la competencia del alumnado para relacionar las pérdidas energéticas producidas en cada nivel con el aprovechamiento de los recursos alimentarios del planeta desde un punto de vista sustentable (consumo de alimentos pertenecientes a los últimos niveles tróficos) y las repercusiones de las actividades humanas en el mantenimiento de la biodiversidad en los ecosistemas (desaparición de depredadores, sobreexplotación pesquera, especies introducidas, etc.) (objetivos 1 y 4)."
"4º ESO";"Biología y geología";"Utilizar los procedimientos de las ciencias para estudiar y buscar alternativas a cuestiones científicas y tecnológicas y para la resolución de problemas locales y globales.";"Este criterio valora la competencia del alumnado para aplicar a diferentes problemas y temas de la actualidad (la conservación de las especies o la intervención humana en la reproducción…) estrategias como la consulta de bibliografía, la formulación de hipótesis, el diseño experimental, el análisis de resultados y sus efectos, el análisis de riesgos, la búsqueda de alternativas… y el uso de destrezas comunicativas suficientes para elaborar informes que estructuren los resultados del trabajo. También se valora si se tiene una imagen del trabajo científico como un proceso en continua construcción, que se apoya en los trabajos colectivos de muchos grupos, que tiene los condicionamientos de cualquier actividad humana y que por ello puede verse afectado por variables de distinto tipo (objetivo 2)."
"4º ESO";"Biología y geología";"Utilizar las TIC como fuente de consulta, como instrumento de representación y de presentación de documentos.";"Se valora la competencia del alumnado para integrar las tecnologías de la información y la comunicación en el proceso investigador, como medio para recoger información sobre los distintos fenómenos naturales, como medio para obtener imágenes y gráficos y como herramienta para representar textual y gráficamente la información recogida en los experimentos, así como para elaborar documentos de trabajo (objetivo 3)."
"4º ESO";"Biología y geología";"Analizar los problemas y desafíos, estrechamente relacionados, a los que se enfrenta la humanidad en relación con la situación de la Tierra, reconocer la responsabilidad de la ciencia y la tecnología y la necesidad de su implicación para resolverlos y avanzar hacia el logro de un futuro sostenible.";"Este criterio valora si el alumnado es consciente de la situación de auténtica emergencia planetaria caracterizada por toda una serie de problemas vinculados: contaminación sin fronteras, agotamiento de recursos, pérdida de biodiversidad y diversidad cultural, hiperconsumo, etc., y si comprende la responsabilidad del desarrollo tecnocientífico y su necesaria contribución a las posibles soluciones teniendo siempre presente el principio de precaución. Se valorará si es consciente de la importancia de la educación científica para su participación en la toma fundamentada de decisiones (objetivos 5 y 6)."
"4º ESO";"Biología y geología";"Identificar y describir hechos que muestren a la Tierra como un planeta cambiante y registrar algunos de los cambios más notables de su larga historia utilizando modelos temporales a escala.";"Se pretende evaluar la capacidad del alumnado para reconocer la magnitud del tiempo geológico mediante la identificación de los acontecimientos fundamentales de la historia de la Tierra en una tabla cronológica y, especialmente, a través de la identificación y ubicación de los fósiles más representativos de las principales eras geológicas y de otros registros geológicos tales como la datación estratigráfica, los tipos de rocas, las cordilleras y procesos orogénicos o las transgresiones y regresiones marinas."
"4º ESO";"Biología y geología";"Utilizar el modelo dinámico de la estructura interna de la Tierra y la teoría de la Tectónica de placas para estudiar los fenómenos geológicos asociados al movimiento de la litosfera y relacionarlos con su ubicación en mapas terrestres.";"Se trata de evaluar la capacidad del alumnado para aplicar el modelo dinámico de la estructura interna de la Tierra y la teoría de la tectónica de placas en la explicación de fenómenos aparentemente no relacionados entre sí, como la formación de cordilleras, la expansión del fondo oceánico, la coincidencia geográfica de terremotos y volcanes en muchos lugares de la Tierra, las coincidencias geológicas y paleontológicas en territorios actualmente separados por grandes océanos, etc. También se debe comprobar si es capaz de asociar la distribución de seísmos y volcanes a los límites de las placas litosféricas en mapas de escala adecuada, y de relacionar todos estos procesos."
"4º ESO";"Biología y geología";"Aplicar los postulados de la teoría celular al estudio de distintos tipos de seres vivos e identificar las estructuras características de la célula procariótica, eucariótica vegetal y animal, y relacionar cada uno de los elementos celulares con su función biológica.";"El alumnado ha de reconocer, empleando las técnicas adecuadas, la existencia de células en distintos organismos. Se trata de evaluar si es capaz de identificar las estructuras celulares en dibujos y microfotografías, señalando la función de cada una de ellas. Asimismo, debe entender la necesidad de coordinación de las células que componen los organismos pluricelulares."
"4º ESO";"Biología y geología";"Reconocer las características del ciclo celular y describir la reproducción celular, señalando las diferencias principales entre meiosis y mitosis, así como el significado biológico de ambas.";"Se trata de comprobar que el alumnado reconoce la mitosis como un tipo de división celular asexual necesaria en la reproducción de los organismos unicelulares y que asegura el crecimiento y reparación del cuerpo en los organismos pluricelulares. También debe explicar el papel de los gametos y de la meiosis en la reproducción sexual. Se trata de comparar ambos tipos de división celular respecto al tipo de células que la sufren, a su mecanismo de acción, a los resultados obtenidos y a la importancia biológica de ambos procesos. Se puede considerar la utilización e interpretación de dibujos esquemáticos, modelos de ciclos celulares o fotografías de cariotipos."
"4º ESO";"Biología y geología";"Resolver problemas prácticos de Genética en diversos tipos de cruzamientos utilizando las leyes de Mendel y aplicar los conocimientos adquiridos en investigar la transmisión de determinados caracteres en nuestra especie.";"Se pretende evaluar si el alumnado es capaz de diferenciar los conceptos básicos de genética y resolver problemas sencillos sobre la transmisión de caracteres hereditarios calculando porcentajes genotípicos y fenotípicos de los descendientes y reconociendo en estos resultados su carácter aleatorio. Se ha de valorar, asimismo, si aplica estos conocimientos a problemas concretos de la herencia humana, como la hemofilia, el daltonismo, factor Rh, color de ojos y pelo, etc."
