valor_curso;valor_area_materia;valor_criterio_evaluacion;descripcion_criterio_evaluacion
"1º ESO";"Ciencias de la naturaleza";"Establecer procedimientos para describir las propiedades de materiales que nos rodean, tales como la masa, el volumen, los estados en los que se presentan y sus cambios.";"Se pretende comprobar que el alumnado es capaz de interpretar cuantitativa y cualitativamente algunas propiedades de la materia utilizando experiencias sencillas que le permitan investigar sus características e identificar los cambios de estado que experimenta, a la vez que se valora el manejo del instrumental científico y las habilidades adquiridas en la interpretación y representación de los datos obtenidos y muy en particular de los gases (por su contribución al establecimiento de la estructura corpuscular de la materia), utilizando experiencias sencillas que le permitan comprender que tienen masa, ocupan volumen, se comprimen, se dilatan y se difunden."
"1º ESO";"Ciencias de la naturaleza";"Relacionar propiedades de los materiales con el uso que se hace de ellos y diferenciar entre mezclas y sustancias, gracias a las propiedades características de estas últimas, así como aplicar algunas técnicas de separación.";"Se trata de saber si el alumnado relaciona el uso de los materiales en la construcción de objetos con sus propiedades y es capaz de diferenciar las mezclas de las sustancias por la posibilidad de separar aquéllas por procesos físicos como la filtración, decantación, cristalización, etc., aprovechando las propiedades que diferencia a cada sustancia de las demás."
"1º ESO";"Ciencias de la naturaleza";"Conocer la existencia de la atmósfera y las propiedades del aire, llegar a interpretar cualitativamente fenómenos atmosféricos y valorar la importancia del papel protector de la atmósfera para los seres vivos, considerando las repercusiones de la actividad humana en la misma.";"El alumno ha de ser capaz de obtener y analizar datos de distintas variables meteorológicas utilizando instrumentos de medición que le permitan familiarizarse con estos conceptos hasta llegar a interpretar algunos fenómenos meteorológicos sencillos. Se valorará también el conocimiento de los graves problemas de contaminación ambiental actuales y sus repercusiones, así como su actitud positiva frente a la necesidad de contribuir a su solución."
"1º ESO";"Ciencias de la naturaleza";"Explicar, a partir del conocimiento de las propiedades del agua, el ciclo del agua en la naturaleza y su importancia para los seres vivos, considerando las repercusiones de las actividades humanas en relación con su utilización.";"Se trata de evaluar si el alumno es capaz de interpretar y elaborar esquemas sobre el ciclo del agua y valorar su importancia teniendo en cuenta los problemas que las actividades humanas han generado en cuanto a la gestión de los recursos de agua dulce y a su contaminación. De este modo, se valorará también la actitud positiva frente a la necesidad de una gestión sostenible del agua, haciendo hincapié en las actuaciones personales que potencien la reducción en el consumo y su reutilización."
"1º ESO";"Ciencias de la naturaleza";"Conocer las rocas y los minerales más frecuentes, en especial los que se encuentran en el entorno próximo, utilizando claves sencillas y reconocer sus aplicaciones más frecuentes.";"El alumnado ha de distinguir los diferentes tipos de rocas (magmáticas, metamórficas y sedimentarias) y los minerales más comunes a partir de sus propiedades características, tales como, en el caso de las rocas, la homogeneidad, el aspecto, la densidad y las reacciones ante determinados reactivos y, en el caso de los minerales, el brillo, la dureza, o la densidad. Se hará énfasis en las rocas que se encuentran en el entorno más cercano, identificando sus aplicaciones más frecuentes."
"1º ESO";"Ciencias de la naturaleza";"Reconocer que los seres vivos están constituidos por células y que llevan a cabo funciones vitales que les diferencian de la materia inerte. Identificar y reconocer las peculiaridades de los grupos más importantes, utilizando claves dicotómicas para su identificación.";"Se trata de comprobar que el alumnado es capaz de reconocer y describir las características de estructura, organización y función de los seres vivos, a partir de muestras, fotografías, dibujos u otros medios. Asimismo, han de adquirir los criterios que permiten clasificar los seres vivos utilizando claves sencillas y técnicas de observación, como el uso de la lupa binocular y el microscopio, para identificar células de organismos unicelulares y pluricelulares, y los rasgos más relevantes de un ser vivo que explican su pertenencia a un grupo taxonómico determinado."
"1º ESO";"Ciencias sociales, geografía e historia.";"Localizar, obtener y describir la información de lugares y espacios que configuran el medio físico mundial, de Europa, España y Castilla-La Mancha, en un mapa utilizando las coordenadas geográficas, la leyenda y la simbología.";"Este criterio valora la competencia del alumnado para utilizar las líneas básicas del sistema de orientación geográfica (meridianos, paralelos y líneas básicas imaginarias) y situar los lugares del mundo, de Europa, España y Castilla-La Mancha en el mapa mediante la longitud y la latitud y los símbolos.
Asimismo, permite evaluar si se sabe decodificar información simbólica e interpretarla para describir el contenido de la información expresada en un mapa (objetivo 1)."
"1º ESO";"Ciencias sociales, geografía e historia.";"Describir y comparar los rasgos físicos más destacados de los grandes medios naturales del planeta, localizándolos en el espacio representado y relacionándolos con las posibilidades que ofrecen a los grupos humanos";"Este criterio valora la competencia del alumnado para reconocer y localizar en el espacio los principales medios naturales de España, Europa y del mundo, de caracterizarlos y distinguirlos en función de la interacción de los rasgos físicos predominantes que conforman paisajes geográficos diferenciados, relacionándolos con las formas de vida que posibilitan.
Asimismo se valora la competencia para generalizar estos rasgos en la comprensión del medio natural y humano de Castilla- La Mancha (objetivo 1)."
"1º ESO";"Ciencias sociales, geografía e historia.";"Identificar y explicar, algunos ejemplos de los impactos que la acción humana tiene sobre el medio natural, analizando sus causas y efectos, y aportando soluciones para limitarlos.";"Este criterio valora la competencia del alumnado para conocer y analizar algunos problemas medioambientales relevantes, en especial los más directamente relacionados con las características del medio natural (escasez de agua, perdida de bosques, cambio climático, etc.), si los relaciona con sus causas y sus posibles efectos, así como si es capaz de exponer acciones que pueden contribuir a su mejora, a través de la ciencia, la tecnología, el consumo responsable, etc. (objetivo 2)."
"1º ESO";"Ciencias sociales, geografía e historia.";"Utilizar las convenciones y unidades cronológicas y las nociones de evolución y cambio aplicándolas a hechos y procesos referidos a la prehistoria y la historia antigua del mundo y de la Península Ibérica.";"Este criterio valora la competencia del alumnado para la localización de hechos y procesos históricos en procesos referidos a las sociedades en la Prehistoria y la Edad Antigua en el tiempo y en el espacio (objetivo 3)."
"1º ESO";"Ciencias sociales, geografía e historia.";"Identificar y exponer los cambios que supuso la revolución neolítica y las primeras civilizaciones urbanas en la evolución de la humanidad y valorar su importancia y sus consecuencias al compararlos con los elementos que conformaron las sociedades depredadoras.";"Este criterio valora si identifican los elementos básicos que conformaron las principales sociedades depredadoras y los cambios radicales que acompañaron a la revolución neolítica constatando las consecuencias que ésta tiene en la evolución de la humanidad. Asimismo se trata de comprobar si es competente para localizar en el tiempo y en el espacio las civilizaciones de Egipto y/o Mesopotamia y caracterizar los elementos básicos que las conformaron y las diferencias existentes en su organización política, económica y social (objetivos 3 y 4)."
"1º ESO";"Ciencias sociales, geografía e historia.";"Caracterizar los rasgos de la organización política, económica y social de las civilizaciones griega y romana en su época de expansión valorando la trascendencia de la romanización en Hispania y la pervivencia de su legado en nuestro país.";"Este criterio valora si conocen los rasgos de las civilizaciones griega y romana, con especial atención a la organización político-administrativa y económica y a los valores culturales, reconociendo la pertenencia de Hispania a la unidad del mundo Mediterráneo creada por Roma e identificando en el patrimonio artístico y en otros rasgos culturales actuales el legado de la civilización romana en nuestro país (objetivos 3 y 4)."
"1º ESO";"Ciencias sociales, geografía e historia.";"Realizar proyectos de investigación guiada utilizando una lectura comprensiva de fuentes de información escrita de contenido geográfico o histórico y comunicar la información obtenida de forma correcta por escrito.";"Este criterio evalúa si el alumnado es competente para planificar y realizar trabajos de síntesis e indagación, si maneja de forma correcta los instrumentos gráficos y cartográficos, así como la lectura e interpretación de gráficos y mapas temáticos, si consulta fuentes de todo tipo y utiliza las TIC como herramienta de consulta y expresión y si es capaz de comunicar la información obtenida utilizando correctamente la expresión escrita y el vocabulario (objetivo 5)."
"1º ESO";"Ciencias sociales, geografía e historia.";"Conocer y contrastar la situación de los derechos y libertades humanas en las épocas estudiadas y en el momento actual.";"Este criterio valora la competencia del alumnado para deducir los derechos y deberes desde el análisis de las sociedades antiguas y compararlos con la situación actual, estableciendo semejanzas y diferencias y contextualizando su desarrollo Asimismo permite comprobar, que si es sensible a cuestiones del pasado como el politeísmo y monoteísmo religioso, la democracia ateniense y romana, la esclavitud, el modelo de economía agraria y comercial romana…., que pueden ayudar a comprender situaciones del presente y las aborda con rigor y con actitud solidaria (objetivo 6)."
"1º ESO";"Ciencias sociales, geografía e historia.";"Localizar lugares o espacios en un mapa utilizando datos de coordenadas geográficas y obtener información sobre el espacio representado a partir de la leyenda y la simbología, comunicando las conclusiones de forma oral o escrita.";"Con este criterio de trata de comprobar que se es capaz de identificar las líneas básicas del sistema de orientación geográfica (meridianos, paralelos y líneas básicas imaginarias) y situar lugares en el mapa mediante la longitud y la latitud. Asimismo, permite evaluar si se sabe decodificar información simbólica e interpretarla para describir el contenido de la información expresada en un mapa."
"1º ESO";"Ciencias sociales, geografía e historia.";"Localizar en un mapa los elementos básicos que configuran el medio físico mundial, de Europa y de España (océanos y mares, continentes, unidades de relieve y ríos) caracterizando los rasgos que predominan en un espacio concreto.";"Con este criterio se trata de evaluar que se conoce el mapa físico del mundo y de Europa en sus rasgos básicos y particularmente el de España, se localizan espacialmente sus elementos y se es capaz de expresar aquéllos que predominan en cada territorio."
"1º ESO";"Ciencias sociales, geografía e historia.";"Comparar los rasgos físicos más destacados (relieve, clima, aguas y elementos biogeográficos) que configuran los grandes medios naturales del planeta, con especial referencia a España, localizándolos en el espacio representado y relacionándolos con las posibilidades que ofrecen a los grupos humanos.";"Se trata de evaluar si se es capaz de reconocer y localizar en el espacio los principales medios naturales de España y del mundo, de caracterizarlos y distinguirlos en función de la interacción de los rasgos físicos predominantes que conforman paisajes geográficos diferenciados, relacionándolos con las formas de vida que posibilitan."
"1º ESO";"Ciencias sociales, geografía e historia.";"Identificar y explicar, algunos ejemplos de los impactos que la acción humana tiene sobre el medio natural, analizando sus causas y efectos, y aportando medidas y conductas que serían necesarias para limitarlos.";"Con este criterio se trata de evaluar si se conocen algunos problemas medioambientales relevantes, en especial los más directamente relacionados con las características del medio natural (escasez de agua, perdida de bosques, cambio climático, etc.), si los relaciona con sus causas y sus posibles efectos, así como si es capaz de exponer acciones que pueden contribuir a su mejora, a través de la ciencia, la tecnología, el consumo responsable, etc."
"1º ESO";"Ciencias sociales, geografía e historia.";"Utilizar las convenciones y unidades cronológicas y las nociones de evolución y cambio aplicándolas a los hechos y procesos de la prehistoria e historia antigua del mundo y de la Península Ibérica.";"Con este criterio se trata de evaluar si se usa la periodización y datación correcta como referencia temporal en la localización de hechos y procesos históricos, y se tiene capacidad para identificar, en procesos referidos a las sociedades en la Prehistoria y la Edad Antigua, elementos de permanencia y de cambio."
"1º ESO";"Ciencias sociales, geografía e historia.";"Identificar y exponer los cambios que supuso la revolución neolítica en la evolución de la humanidad y valorar su importancia y sus consecuencias al compararlos con los elementos que conformaron las sociedades depredadoras.";"Con este criterio se trata de comprobar que se identifican los elementos básicos que conformaron las principales sociedades depredadoras y los cambios radicales que acompañaron a la revolución neolítica constatando las consecuencias que ésta tuvo en la evolución de la humanidad. También debe valorarse en la exposición la corrección en el lenguaje y la utilización de un vocabulario básico adecuado."
"1º ESO";"Ciencias sociales, geografía e historia.";"Diferenciar los rasgos más relevantes que caracterizan alguna de las primeras civilizaciones urbanas y la civilización griega, identificando los elementos originales de esta última y valorando aspectos significativos de su aportación a la civilización occidental.";"Con este criterio se trata de comprobar que se es capaz de localizar en el tiempo y en el espacio las civilizaciones de Egipto o Mesopotamia y Grecia y caracterizar los elementos básicos que las conformaron y las diferencias existentes en su organización política, económica y social. Asimismo se trata de comprobar si se reconocen en el mundo actual y en el patrimonio cultural y artístico elementos relevantes de la aportación de Grecia a la configuración de la civilización occidental."
"1º ESO";"Ciencias sociales, geografía e historia.";"Caracterizar los rasgos de la organización política, económica y social de la civilización romana valorando la trascendencia de la romanización en Hispania y la pervivencia de su legado en nuestro país, analizando algunas de sus aportaciones más representativas.";"Con este criterio se trata de evaluar el conocimiento de los rasgos de la civilización romana, con especial atención a la organización político-social y económica, reconociendo la pertenencia de Hispania a la unidad del mundo mediterráneo creada por Roma e identificando en el patrimonio artístico y en otros rasgos culturales actuales el legado de la civilización romana en nuestro país."
"1º ESO";"Ciencias sociales, geografía e historia.";"Realizar una lectura comprensiva de fuentes de información escrita de contenido geográfico o histórico y comunicar la información obtenida de forma correcta por escrito.";"Con este criterio se trata de evaluar que se hace una lectura comprensiva de diferentes fuentes de información escrita utilizadas en el estudio de la materia, obteniendo las ideas principales que contienen y relacionándolas con otras para formar esquemas explicativos, siendo capaz de comunicar la información obtenida utilizando correctamente la expresión escrita y el vocabulario."
"1º ESO";"Educación Física";"Identificar los hábitos higiénicos y posturales saludables relacionados con la actividad física y con la vida cotidiana.";"Este criterio valora si el alumnado, durante la práctica de actividad física, identifica y lleva a cabo determinados hábitos, como por ejemplo usar la indumentaria adecuada, hidratarse durante la actividad o atender a su higiene personal después de las sesiones. El alumnado, igualmente, deberá reconocer las posturas adecuadas en las actividades físicas que se realicen y en acciones de la vida cotidiana como estar sentado, levantar cargas o transportar mochilas (objetivo 1)."
"1º ESO";"Educación Física";"Recopilar actividades, juegos, estiramientos y ejercicios de movilidad articular apropiados para el calentamiento y realizados en clase.";"Este criterio valora si el alumnado, una vez que ha realizado en clase juegos y ejercicios diversos para calentar propuestos por el profesorado, recoge, en soporte escrito o digital, ejercicios que pueden ser utilizados en el calentamiento de cualquier actividad física (objetivo 2)."
"1º ESO";"Educación Física";"Incrementar las cualidades físicas relacionadas con la salud respecto a su nivel inicial.";"Este criterio valora la competencia para mostarse autoexigente en su esfuerzo para mejorar los niveles de las cualidades físicas relacionadas con la salud. Para la evaluación se deberá tener en cuenta, sobre todo, la mejora respecto a sus propios niveles iniciales en las capacidades de resistencia aeróbica, fuerza, resistencia y flexibilidad, cualidades motrices y no sólo el resultado obtenido (objetivo 2)."
"1º ESO";"Educación Física";"Mejorar la ejecución de los aspectos técnicos fundamentales de un deporte individual, aceptando el nivel alcanzado.";"Este criterio valora la progresión de las capacidades coordinativas en las habilidades específicas de un deporte individual. Además se observará si hace una autoevaluación ajustada de su nivel de ejecución y si es capaz de resolver con eficacia los problemas motores planteados (objetivo 3)."
"1º ESO";"Educación Física";"Realizar la acción motriz oportuna en función de la fase de juego que se desarrolle, ataque o defensa, en el juego o deporte colectivo propuesto.";"Este criterio valora como en situaciones de ataque intenta conservar el balón, avanzar, y conseguir la marca, seleccionando las acciones técnicas adecuadas; y en situaciones de defensa intenta recuperar la pelota, frenar el avance y evitar que los oponentes consigan la marca. Dentro de este criterio también se tendrán en cuenta los aspectos actitudinales relacionados con el trabajo en equipo y la cooperación (objetivo 3)"
"1º ESO";"Educación Física";"Seguir las indicaciones de las señales de rastreo en un recorrido por el centro o sus inmediaciones.";"Este criterio valora la competencia para identificar el significado de las señales necesarias para completar el recorrido y, a partir de su lectura, seguirlas para realizarlo en el orden establecido y lo más rápido posible. También se valorará en este criterio la capacidad de desenvolverse respetuosamente con el entorno físico y social en el que se desarrolle la actividad (objetivo 4)."
"1º ESO";"Educación Física";"Elaborar un mensaje de forma colectiva, mediante técnicas como el mimo, el gesto, la dramatización o la danza y comunicarlo al resto de grupos.";"Este criterio valora la competencia para elaborar colectivamente un mensaje y comunicarlo, escogiendo alguna de las técnicas de expresión corporal trabajadas. Se analizará la capacidad creativa, así como la adecuación y la puesta en práctica de la técnica expresiva escogida. También se podrán evaluar todos aquellos aspectos relacionados con el trabajo en equipo durante la preparación de la actividad final (objetivo 5)."
"1º ESO";"Educación Física";"Manifestar actitudes de cooperación, tolerancia, deportividad y “juego limpio” tanto cuando se adopta el papel de participante como el de espectador en la práctica de un deporte colectivo.";"Este criterio valora la participación del alumnado en las distintas actividades, juegos y situaciones competitivas del deporte colectivo escogido. Se valorará su capacidad de implicarse y esforzarse en cumplir las responsabilidades que le asigna su propio equipo. También se le valorará el respeto a las normas, al árbitro, a los propios compañeros y a los oponentes, así como la aceptación del resultado. Cuando actúe como espectador se le valorará, la capacidad de mostrarse participativo y motivado por la competición y el respeto a jugadores, al árbitro y sus decisiones (objetivo 6)"
"1º ESO";"Educación Física";"Manifestar una actitud crítica ante las prácticas y valoraciones que se hacen del deporte y del cuerpo a través de los diferentes medios de comunicación.";"Este criterio valora, a partir del análisis de la información que ofrecen los medios de comunicación (prensa, revistas para adolescentes, Internet, radio, TV) sobre temáticas vinculadas al deporte y al cuerpo vigentes en la sociedad, analice de forma crítica temas como la imagen corporal, los estilos de vida en la sociedad actual, los valores de las diferentes vertientes del deporte o la violencia y la competitividad (objetivo 7)."
"1º ESO";"Educación Física";"Utilizar las tecnologías de la información y la comunicación como recurso de la materia.";"Se valora la competencia alcanzada por el alumnado para realizar sencillas investigaciones utilizando las TIC para profundizar en distintos contenidos, obtener y registrar datos, presentar y expresar la información (objetivo 8)"
"1º ESO";"Educación Física";"Recopilar actividades, juegos, estiramientos y ejercicios de movilidad articular apropiados para el calentamiento y realizados en clase.";"Se comprobará que el alumnado, una vez ha realizado en clase juegos y ejercicios diversos para calentar, propuestos por el profesorado, recoge en soporte escrito o digital ejercicios que pueden ser utilizados en el calentamiento de cualquier actividad física."
"1º ESO";"Educación Física";"Identificar los hábitos higiénicos y posturales saludables relacionados con la actividad física y con la vida cotidiana.";"Se pretende analizar si el alumnado, durante la práctica de actividad física, identifica y lleva a cabo determinados hábitos, como por ejemplo usar la indumentaria adecuada, hidratarse durante la actividad o atender a su higiene personal después de las sesiones. El alumnado, igualmente, deberá reconocer las posturas adecuadas en las actividades físicas que se realicen y en acciones de la vida cotidiana como estar sentado, levantar cargas o transportar mochilas."
"1º ESO";"Educación Física";"Incrementar las cualidades físicas relacionadas con la salud trabajadas durante el curso respecto a su nivel inicial.";"Con este criterio se pretende que el alumnado se muestre autoexigente en su esfuerzo para mejorar los niveles de las cualidades físicas relacionadas con la salud. Para la evaluación se deberá tener en cuenta, sobre todo, la mejora respecto a sus propios niveles iniciales en las capacidades de resistencia aeróbica, fuerza resistencia y flexibilidad, y no sólo el resultado obtenido."
"1º ESO";"Educación Física";"Mejorar la ejecución de los aspectos técnicos fundamentales de un deporte individual, aceptando el nivel alcanzado.";"Mediante este criterio se evaluará la progresión de las capacidades coordinativas en las habilidades específicas de un deporte individual. Además se observará si hace una autoevaluación ajustada de su nivel de ejecución, y si es capaz de resolver con eficacia los problemas motores planteados."
"1º ESO";"Educación Física";"Realizar la acción motriz oportuna en función de la fase de juego que se desarrolle, ataque o defensa, en el juego o deporte colectivo propuesto.";"El alumnado deberá demostrar que en situaciones de ataque intenta conservar el balón, avanzar y conseguir la marca, seleccionando las acciones técnicas adecuadas; y en situaciones de defensa intenta recuperar la pelota, frenar el avance y evitar que los oponentes consigan la marca. Dentro de este criterio también se tendrán en cuenta los aspectos actitudinales relacionados con el trabajo en equipo y la cooperación."
"1º ESO";"Educación Física";"Elaborar un mensaje de forma colectiva, mediante técnicas como el mimo, el gesto, la dramatización o la danza y comunicarlo al resto de grupos";"Se pretende evaluar la capacidad de elaborar colectivamente un mensaje y comunicarlo, escogiendo alguna de las técnicas de expresión corporal trabajadas. Se analizará la capacidad creativa, así como la adecuación y la puesta en práctica de la técnica expresiva escogida. También se podrán evaluar todos aquellos aspectos relacionados con el trabajo en equipo en la preparación de la actividad final."
"1º ESO";"Educación Física";"Seguir las indicaciones de las señales de rastreo en un recorrido por el centro o sus inmediaciones.";"El alumnado deberá identificar el significado de las señales necesarias para completar el recorrido y, a partir de su lectura, seguirlas para realizarlo en el orden establecido y lo más rápido posible. También se valorará en este criterio la capacidad de desenvolverse respetuosamente con el entorno físico y social en el que se desarrolle la actividad."
"1º ESO";"Educación plástica y visual";"Identificar los elementos constitutivos esenciales (configuraciones estructurales, variaciones cromáticas, orientación espacial y textura) de objetos y/o aspectos de la realidad.";"Este criterio valora la competencia para identificar las cualidades que determinan su valor físico, funcional o estético y de describir por medio de recursos plásticos las proporciones y las relaciones de forma, color, ritmo, textura, presentes en la realidad para interpretarla objetiva o subjetivamente (objetivo 1)."
